2 választási eredmény
Párt1 - 45965
Párt2 - 58141
Párt3 - 130488
Párt4 - 53009
Párt5 - 101244
Párt6 - 191652
Párt7 - 79113
Párt8 - 95064
Párt9 - 24243
Párt10 - 159186
Párt11 - 58158
Párt12 - 182903
Párt13 - 100494
Párt14 - 194745
Párt15 - 108848
Párt16 - 136617
Párt17 - 176399
Párt18 - 132254
Párt19 - 42490
Párt20 - 82720
Párt21 - 144661
Párt22 - 157689
Párt23 - 62644
Párt24 - 61382
Párt25 - 130478
Párt26 - 8580038
Párt27 - 93748
Párt28 - 159592
Párt29 - 37573
Párt30 - 36297
Párt31 - 17482
Párt32 - 147826
Párt33 - 42262
Párt34 - 58941
Párt35 - 178301
Párt36 - 143241
Párt37 - 58301
Párt38 - 174618
Párt39 - 41546
Párt40 - 60574
Párt41 - 108102
Párt42 - 106517
Párt43 - 83341
Párt44 - 107501
Párt45 - 156819
Párt46 - 159418
Párt47 - 87760
Párt48 - 21774
Párt49 - 21661
Párt50 - 66934
Párt51 - 60129
Párt52 - 198531
Párt53 - 34353
Párt54 - 27810
Párt55 - 165740
Párt56 - 194882
Párt57 - 120920
Párt58 - 6550
Párt59 - 136160
Párt60 - 9363964
Párt61 - 131038
